title,authors,average_rating,ratings_count,num_pages,cluster_label
The Changeling (Daughters of England  #15),Philippa Carr,3.98,345,369,Mainstream Middles
The Known World,Edward P. Jones,3.83,29686,388,Mainstream Middles
The Known World,Edward P. Jones/Kevin R. Free,3.83,55,14,Mainstream Middles
The Known World,Edward P. Jones,3.83,22,576,Mainstream Middles
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,1456,334,Mainstream Middles
Artesia: Adventures in the Known World,Mark Smylie,4.13,52,352,Hidden Gems
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,562,416,Hidden Gems
Uncommon Carriers,John McPhee,3.95,1630,248,Mainstream Middles
Heirs of General Practice,John McPhee,4.17,268,128,Hidden Gems
The Control of Nature,John McPhee,4.24,3498,288,Hidden Gems
Annals of the Former World,John McPhee,4.34,3115,720,Hidden Gems
Coming Into the Country,John McPhee,4.22,5704,448,Hidden Gems
La Place de la Concorde Suisse,John McPhee,3.92,698,160,Mainstream Middles
Giving Good Weight,John McPhee,4.23,542,288,Hidden Gems
Rising from the Plains,John McPhee,4.23,1341,208,Hidden Gems
The Heidi Chronicles,Wendy Wasserstein,3.75,1423,81,Mainstream Middles
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,2766,249,Mainstream Middles
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,31,138,Mainstream Middles
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,62,128,Mainstream Middles
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,860,192,Hidden Gems
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,77,108,Underperformers
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,153317,352,Mainstream Middles
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,55,192,Underperformers
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,34,192,Hidden Gems
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,11797,832,Mainstream Middles
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,34,123,Mainstream Middles
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,78,128,Mainstream Middles
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,2785,423,Mainstream Middles
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,38778,436,Mainstream Middles
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,97494,331,Mainstream Middles
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,784,592,Mainstream Middles
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,272,480,Mainstream Middles
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,4789,426,Mainstream Middles
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,45388,471,Mainstream Middles
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,26153,192,Hidden Gems
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,69167,544,Hidden Gems
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,45,291,Hidden Gems
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,16,256,Hidden Gems
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,174,205,Underperformers
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,10,240,Underperformers
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,76,336,Underperformers
eBay for Dummies,Marsha Collier,3.5,111,386,Underperformers
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,24,260,Underperformers
Starting an eBay Business for Dummies,Marsha Collier,3.55,55,384,Underperformers
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,9,260,Hidden Gems
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,22,391,Underperformers
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,17,864,Mainstream Middles
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,166,873,Mainstream Middles
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,50,240,Hidden Gems
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,13,206,Mainstream Middles
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,64,514,Underperformers
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,16643,838,Mainstream Middles
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,109420,960,Mainstream Middles
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,2904,837,Mainstream Middles
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,16,80,Mainstream Middles
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,9564,803,Mainstream Middles
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,474,752,Mainstream Middles
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,303,803,Mainstream Middles
Dinner with Anna Karenina,Gloria Goldreich,2.99,411,360,Underperformers
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,1204,128,Hidden Gems
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,3429,160,Underperformers
The Untouchable,John Banville,3.95,2163,367,Mainstream Middles
The Untouchables,Eliot Ness/Oscar Fraley,3.89,613,256,Mainstream Middles
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,308,320,Mainstream Middles
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,10,100,Hidden Gems
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,16,224,Underperformers
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,10,216,Underperformers
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,17,48,Mainstream Middles
Wrinkles in Time,George Smoot/Keay Davidson,4.01,1035,360,Mainstream Middles
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,36,250,Mainstream Middles
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,15,32,Underperformers
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,6,205,Mainstream Middles
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,376,367,Hidden Gems
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,3086,352,Hidden Gems
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,352,320,Mainstream Middles
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,9852,331,Underperformers
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,821,244,Mainstream Middles
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,731,215,Mainstream Middles
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,2897,191,Mainstream Middles
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,98,144,Mainstream Middles
I am Charlotte Simmons,Tom Wolfe,3.42,20888,738,Underperformers
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,66,48,Mainstream Middles
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,81,287,Mainstream Middles
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,981,217,Hidden Gems
Quiet Days in Clichy,Henry Miller,3.69,3381,154,Underperformers
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,53206,318,Underperformers
Tropic of Capricorn,Henry Miller,3.78,14872,348,Mainstream Middles
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,3261,316,Hidden Gems
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,7805,506,Mainstream Middles
The Air-Conditioned Nightmare,Henry Miller,3.83,2699,292,Mainstream Middles
The Portrait of a Lady,Henry James/Patricia Crick,3.78,61640,797,Mainstream Middles
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,392,635,Mainstream Middles
Writing,Marguerite Duras,3.75,778,91,Mainstream Middles
The War,Marguerite Duras/Barbara Bray,3.85,963,192,Mainstream Middles
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,2057,181,Underperformers
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,203,178,Underperformers
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,35,464,Hidden Gems
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,328,102,Hidden Gems
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,1308,216,Mainstream Middles
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,6432,132,Mainstream Middles
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,3015,100,Mainstream Middles
Treasure Island,Robert Louis Stevenson,3.83,318753,311,Mainstream Middles
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,420,213,Mainstream Middles
Treasure Island,Robert Louis Stevenson,3.83,5967,245,Mainstream Middles
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,104,64,Mainstream Middles
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,56,272,Mainstream Middles
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,91,232,Mainstream Middles
100 Years of Lynchings,Ralph Ginzburg,4.61,88,270,Hidden Gems
Cien años de soledad,Gabriel García Márquez,4.07,63,448,Mainstream Middles
On Beyond Zebra!,Dr. Seuss,4.04,2815,64,Mainstream Middles
The Wedding Clause,Debbie Raleigh,3.6,95,256,Underperformers
The Zebra Wall,Kevin Henkes,3.44,217,147,Underperformers
El perfume: Historia de un asesino,Patrick Süskind,4.02,4136,239,Mainstream Middles
The Door Into Summer,Robert A. Heinlein,4.01,17232,304,Mainstream Middles
Stranger in a Strange Land,Robert A. Heinlein,3.92,251872,528,Mainstream Middles
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,10293,434,Mainstream Middles
Job: A Comedy of Justice,Robert A. Heinlein,3.78,15970,439,Mainstream Middles
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,6898,256,Mainstream Middles
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,67803,307,Mainstream Middles
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,22091,298,Mainstream Middles
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,2623,368,Hidden Gems
Douglas Adams's Starship Titanic,Terry Jones,3.6,885,256,Underperformers
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,5,336,Mainstream Middles
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,100,72,Hidden Gems
On Bullshit,Harry G. Frankfurt,3.57,9358,67,Underperformers
Another Bullshit Night in Suck City,Nick Flynn,3.78,9318,347,Mainstream Middles
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,120,317,Hidden Gems
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,5239,32,Hidden Gems
Underworld,Don DeLillo,3.92,1505,827,Mainstream Middles
Libra,Don DeLillo,3.99,11857,480,Mainstream Middles
Americana,Don DeLillo,3.43,393,377,Underperformers
Running Dog,Don DeLillo,3.43,1356,256,Underperformers
Cosmopolis,Don DeLillo,3.22,460,224,Underperformers
Great Jones Street,Don DeLillo,3.48,2492,272,Underperformers
The Names,Don DeLillo,3.64,3100,339,Underperformers
Against the Day,Thomas Pynchon,4.13,5296,1085,Hidden Gems
V.,Thomas Pynchon,3.96,1415,547,Mainstream Middles
The Crying of Lot 49,Thomas Pynchon,3.69,2161,152,Underperformers
Gravity's Rainbow,Thomas Pynchon,4.01,762,784,Mainstream Middles
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,8086,773,Mainstream Middles
Vineland,Thomas Pynchon,3.69,702,385,Underperformers
Gravity's Rainbow,Thomas Pynchon,4.01,29764,776,Mainstream Middles
Slow Learner: Early Stories,Thomas Pynchon,3.5,334,193,Underperformers
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,2473,352,Mainstream Middles
The Year of Magical Thinking,Joan Didion,3.89,2656,227,Mainstream Middles
The White Album,Joan Didion,4.17,11889,222,Hidden Gems
A Book of Common Prayer,Joan Didion,3.8,2962,272,Mainstream Middles
Where I Was From,Joan Didion,3.86,2842,240,Mainstream Middles
Slouching Towards Bethlehem,Joan Didion,4.21,26934,238,Hidden Gems
Democracy,Joan Didion,3.81,2070,234,Mainstream Middles
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,1564,1122,Hidden Gems
Play It As It Lays,Joan Didion/David Thomson,3.87,23656,231,Mainstream Middles
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,43200,308,Mainstream Middles
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,12410,203,Mainstream Middles
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,3672,96,Underperformers
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,2998,179,Mainstream Middles
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,74,256,Mainstream Middles
The Brooklyn Follies,Paul Auster,3.84,17977,306,Mainstream Middles
Moon Palace,Paul Auster,3.94,16099,320,Mainstream Middles
The Music of Chance,Paul Auster,3.9,361,217,Mainstream Middles
Travels in the Scriptorium,Paul Auster,3.23,6688,145,Underperformers
Leviathan,Paul Auster,3.96,11744,275,Mainstream Middles
The Red Notebook: True Stories,Paul Auster,3.77,2390,104,Mainstream Middles
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,21,1075,Hidden Gems
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,52522,608,Mainstream Middles
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,213,211,Underperformers
Collapse of Complex Societies,Joseph A. Tainter,4.15,719,262,Hidden Gems
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,4762,544,Mainstream Middles
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,62,272,Mainstream Middles
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,278,576,Hidden Gems
My Inventions,Nikola Tesla,4.01,2862,88,Mainstream Middles
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,2829,542,Mainstream Middles
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,105,144,Mainstream Middles
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,102,100,Hidden Gems
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,478,249,Mainstream Middles
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,1577,828,Mainstream Middles
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,73,112,Mainstream Middles
Lord of the Flies,William Golding,3.68,408,6,Underperformers
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,1693,397,Hidden Gems
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,1,216,Hidden Gems
The Lovely Bones,Alice Sebold,3.81,6485,328,Mainstream Middles
The Lovely Bones,Alice Sebold,3.81,367,532,Mainstream Middles
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,1371,224,Mainstream Middles
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,793,296,Mainstream Middles
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,549,456,Mainstream Middles
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,288,575,Mainstream Middles
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,26381,245,Mainstream Middles
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,62089,272,Mainstream Middles
Vice (V  #8),Jane Feather,3.51,474,419,Underperformers
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,166046,540,Mainstream Middles
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,1773,32,Mainstream Middles
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,286,408,Underperformers
Motorcycle Basics Techbook,John Harold Haynes,3.85,40,222,Mainstream Middles
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,27,191,Mainstream Middles
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,7300,304,Hidden Gems
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,211671,1392,Hidden Gems
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,2403,352,Hidden Gems
Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,322483,1168,Mainstream Middles
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,2750,224,Underperformers
The Fountainhead,Ayn Rand,3.87,1886,752,Mainstream Middles
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,11462,176,Underperformers
Anthem,Ayn Rand,3.63,110952,105,Underperformers
We the Living,Ayn Rand/Leonard Peikoff,3.91,23199,464,Mainstream Middles
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,3501,340,Mainstream Middles
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,18,681,Mainstream Middles
Sailing for Dummies,J.J. Isler/Peter Isler,3.95,150,416,Mainstream Middles
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,646,368,Mainstream Middles
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,12180,192,Hidden Gems
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,51,286,Underperformers
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,1601,571,Underperformers
The Natural,Bernard Malamud/Kevin Baker,3.63,8854,231,Underperformers
Digging to America,Anne Tyler,3.55,17155,277,Underperformers
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,44,826,Mainstream Middles
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,234,528,Underperformers
The Plot Against America,Philip Roth,3.77,33321,391,Mainstream Middles
Naked Pictures of Famous People,Jon   Stewart,3.59,8703,164,Underperformers
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,6375,352,Hidden Gems
Crónica de una muerte anunciada,Gabriel García Márquez,3.97,7888,118,Mainstream Middles
Cien años de soledad,Gabriel García Márquez,4.07,130,496,Mainstream Middles
Del amor y otros demonios,Gabriel García Márquez,3.98,4508,176,Mainstream Middles
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,397,533,Mainstream Middles
Memoria de mis putas tristes,Gabriel García Márquez,3.6,5856,112,Underperformers
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,32569,425,Mainstream Middles
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,37,288,Hidden Gems
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,1,363,Mainstream Middles
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,11,128,Mainstream Middles
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,6870,287,Mainstream Middles
Cryptonomicon,Neal Stephenson,4.25,83184,1139,Hidden Gems
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,5,418,Hidden Gems
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,19320,815,Hidden Gems
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,30872,927,Mainstream Middles
The Cobweb,Neal Stephenson/J. Frederick George,3.61,2465,448,Underperformers
The Big U,Neal Stephenson,3.25,4657,308,Underperformers
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,71042,499,Hidden Gems
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,4731,640,Underperformers
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,1567,464,Hidden Gems
Snow Crash,Neal Stephenson/Guy Abadia,4.03,188100,438,Mainstream Middles
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,1474,450,Hidden Gems
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,1929,381,Hidden Gems
The Design of Everyday Things,Donald A. Norman,4.17,18602,240,Hidden Gems
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,3702,272,Mainstream Middles
The Psychology of Everyday Things,Donald A. Norman,4.17,265,257,Hidden Gems
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,51,259,Hidden Gems
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86,920,192,Mainstream Middles
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,1631221,197,Blockbusters
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,9013,192,Hidden Gems
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,16666,192,Hidden Gems
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,11451,192,Hidden Gems
